Precursor Mass,Retention Time,Observation Confidence,Average Observation Score,Compound
continuous,continuous,continuous,continuous,string
,,,,meta
176.0565,12.68,0.75,0.75,C20844
357.0523,11.77,0.0,0.0,C11718
179.0567,8.36,0.885650103692,0.885650103692,C01487
547.074,11.13,0.75,0.75,C03187
116.0725,9.12,0.0,0.0,C01826
347.073,10.23,0.75,0.75,C19591
181.0719,8.17,0.853419493807,0.536709746904,C00392
164.0566,7.64,0.75,0.75,C02230
121.029,35.07,1.0,0.5,C00180
130.0513,12.6,0.846342981136,0.846342981136,C03341
382.1357,10.88,0.784367541766,0.784367541766,C18491
155.0463,13.52,0.787775708248,0.787775708248,C05568
147.0298,19.68,0.0,0.0,C00684
145.0985,12.11,0.0,0.0,C16440
431.1699,12.13,0.75,0.75,C20196
204.0675,14.17,0.75,0.75,C09961
345.1298,8.0,0.813067916386,0.813067916386,C09512
137.0233,20.64,0.75,0.36,C00156
174.0567,2.6,0.75,0.75,C06525
286.106,6.57,0.753015029807,0.753015029807,C02916
217.1201,10.89,0.75,0.75,C04020
362.0545,20.88,0.891078838174,0.660539419087,C00144
519.326,9.52,0.75,0.75,C08804
179.0567,8.36,0.885650103692,0.885650103692,C00737
346.0586,19.79,0.835573476703,0.477786738351,C01367
344.0762,10.24,0.75,0.75,C01081
445.0985,11.06,0.75,0.75,C06566
145.0985,12.11,0.0,0.0,C00739
150.0559,2.76,0.914390684701,0.914390684701,C06804
150.0559,2.76,0.744483213433,0.744483213433,C02709
129.0559,9.37,0.0,0.0,C00671
204.0675,14.17,0.0644915232823,0.0644915232823,C10741
444.1233,14.67,0.75,0.75,C13825
144.0458,2.52,0.551354464748,0.551354464748,C02796
116.0725,9.12,0.0,0.0,C03571
165.056,9.73,0.526379712057,0.526379712057,C02201
132.0307,15.69,0.117468728352,0.117468728352,C00402
308.1017,11.03,0.528329053118,0.528329053118,C15360
432.2547,9.26,0.75,0.75,C11298
151.0395,2.81,0.742236546131,0.742236546131,C04043
393.0418,9.56,0.75,0.75,C17399
160.0615,12.08,0.876651982379,0.876651982379,C06234
165.0196,2.57,0.0,0.0,C01606
185.1186,9.12,0.886231884058,0.886231884058,C11417
170.0443,9.84,0.788921094795,0.788921094795,C17356
343.0651,9.65,0.75,0.75,C08241
319.1186,9.95,0.581969848754,0.581969848754,C06079
185.1186,9.12,0.75,0.75,C17620
147.0298,19.68,0.0,0.0,C02753
299.2619,34.85,0.75,0.75,C03195
144.0458,2.52,0.804321444995,0.804321444995,C06343
193.0543,11.27,0.36,0.36,C10470
89.0247,8.18,0.75,0.75,C00577
415.3254,35.12,0.75,0.75,C17339
179.0566,9.57,0.899417395991,0.899417395991,C21032
201.0531,20.26,0.418540827021,0.418540827021,C03569
191.0207,21.05,0.809341706638,0.649670853319,C00451
329.0331,19.67,0.484795516457,0.484795516457,C00943
179.0566,9.57,0.89638888176,0.82319444088,C00247
145.0985,12.11,0.0,0.0,C05161
88.0414,15.7,0.0,0.0,C00133
131.0472,11.01,0.759818919763,0.759818919763,C16438
243.0641,6.0,0.713978136102,0.713978136102,C08743
208.9346,12.87,0.0,0.0,C11510
218.0448,9.57,0.793834446343,0.793834446343,C05646
165.0201,15.55,0.75,0.75,C03590
303.0861,6.03,0.749483728573,0.749483728573,C19013
211.0769,10.72,0.756083429896,0.756083429896,C04468
285.9866,9.13,0.75,0.75,C21069
382.1357,10.88,0.70232220869,0.70232220869,C20887
371.1881,11.2,0.0,0.0,C10892
331.0765,13.86,0.75,0.75,C19545
251.0721,11.93,0.734754583104,0.734754583104,C03074
202.1087,11.22,0.0,0.0,C08435
345.1298,8.0,0.749102218101,0.749102218101,C11869
165.0182,11.05,0.75,0.75,C03590
426.9989,13.09,0.75,0.75,C14021
346.0586,19.79,0.80561155914,0.48780577957,C00362
243.0767,11.24,0.0,0.0,C07449
415.3254,35.12,0.75,0.75,C17332
503.1681,10.46,0.804263565891,0.804263565891,C00713
293.2104,8.07,0.852849740933,0.852849740933,C16346
514.1051,9.96,0.75,0.75,C18033
237.0199,19.68,0.75,0.75,C16842
179.0567,8.36,0.891627674576,0.891627674576,C21066
341.1126,9.63,0.75198601843,0.75198601843,C00185
455.1911,10.56,0.75,0.75,C06941
